config_id,dataset,imbalance_method,method_family,classifier,minority_ratio,seed,scale,n_features,precision,recall,f1,mcc,balanced_accuracy,accuracy,roc_auc,pr_auc,tn,fp,fn,tp,best_params,params_source,runtime_sec,train_size,test_size,train_phishing,test_phishing,train_phishing_pct,test_phishing_pct
urlphish__random_oversampling__random_forest__rnative__s42__full,urlphish,random_oversampling,Data-level (resampling),random_forest,,42,full,22,0.9250302297460702,0.9216867469879518,0.9233554616777309,0.910661347013364,0.9546433734939759,0.9782161234991423,0.9889985993975904,0.9660855302168635,19752,248,260,3060,"{""max_depth"": null, ""max_features"": ""sqrt"", ""n_estimators"": 300}",seed 42,42.1,93280,23320,13280,3320,14.24,14.24
urlphish__random_oversampling__svm__rnative__s42__full,urlphish,random_oversampling,Data-level (resampling),svm,,42,full,22,0.8407694362810579,0.9478915662650602,0.8911227523715135,0.8739509396145425,0.9590457831325301,0.967024013722127,0.9900445933734939,0.9542044180078046,19404,596,173,3147,"{""C"": 10, ""gamma"": ""scale"", ""kernel"": ""rbf""}",seed 42,477.1,93280,23320,13280,3320,14.24,14.24
urlphish__random_undersampling__decision_tree__rnative__s42__full,urlphish,random_undersampling,Data-level (resampling),decision_tree,,42,full,22,0.8021920668058455,0.9259036144578313,0.8596196868008948,0.8373410592949713,0.9440018072289156,0.9569468267581475,0.9731296987951807,0.857180415041258,19242,758,246,3074,"{""criterion"": ""gini"", ""max_depth"": 10, ""min_samples_split"": 10}",seed 42,28.8,93280,23320,13280,3320,14.24,14.24
urlphish__random_undersampling__random_forest__rnative__s42__full,urlphish,random_undersampling,Data-level (resampling),random_forest,,42,full,22,0.8131727319323424,0.9557228915662651,0.8787039601218499,0.860562886196125,0.9596364457831326,0.9624356775300171,0.9917924698795182,0.9703505656985171,19271,729,147,3173,"{""max_depth"": 20, ""max_features"": ""sqrt"", ""n_estimators"": 100}",seed 42,26.5,93280,23320,13280,3320,14.24,14.24
urlphish__random_undersampling__svm__rnative__s42__full,urlphish,random_undersampling,Data-level (resampling),svm,,42,full,22,0.8092291827790667,0.9454819277108434,0.8720655646617586,0.8524740000207789,0.9542409638554217,0.9605060034305317,0.9891519277108434,0.9414836682479814,19260,740,181,3139,"{""C"": 10, ""gamma"": ""scale"", ""kernel"": ""rbf""}",seed 42,56.8,93280,23320,13280,3320,14.24,14.24
urlphish__smote__decision_tree__rnative__s42__full,urlphish,smote,Data-level (synthetic),decision_tree,,42,full,22,0.8866039952996475,0.9090361445783133,0.8976799524092802,0.8805407087142341,0.9448680722891567,0.9704974271012007,0.9601521460843373,0.877596472004525,19614,386,302,3018,"{""criterion"": ""entropy"", ""max_depth"": 20, ""min_samples_split"": 10}",seed 42,39.2,93280,23320,13280,3320,14.24,14.24
urlphish__smote__random_forest__rnative__s42__full,urlphish,smote,Data-level (synthetic),random_forest,,42,full,22,0.925748502994012,0.9313253012048193,0.9285285285285285,0.9166283255961926,0.9594626506024097,0.9795883361921098,0.9924004442771084,0.9756778694703347,19752,248,228,3092,"{""max_depth"": 20, ""max_features"": ""sqrt"", ""n_estimators"": 100}",seed 42,47.1,93280,23320,13280,3320,14.24,14.24
urlphish__smote__svm__rnative__s42__full,urlphish,smote,Data-level (synthetic),svm,,42,full,22,0.8463822894168467,0.9442771084337349,0.8926537585421412,0.875501347268024,0.9579135542168675,0.9676672384219555,0.9899760090361446,0.9531491871603737,19431,569,185,3135,"{""C"": 10, ""gamma"": ""scale"", ""kernel"": ""rbf""}",seed 42,428.6,93280,23320,13280,3320,14.24,14.24
urlphish__smoteenn__decision_tree__rnative__s42__full,urlphish,smoteenn,Hybrid,decision_tree,,42,full,22,0.8686049762370702,0.935843373493976,0.9009714368566043,0.8846598530304783,0.956171686746988,0.9707118353344768,0.956171686746988,0.8220120019329189,19530,470,213,3107,"{""criterion"": ""entropy"", ""max_depth"": null, ""min_samples_split"": 2}",seed 42,61.6,93280,23320,13280,3320,14.24,14.24
urlphish__smoteenn__random_forest__rnative__s42__full,urlphish,smoteenn,Hybrid,random_forest,,42,full,22,0.8962155963302753,0.941566265060241,0.918331374853114,0.9047603910569016,0.9617331325301205,0.9761578044596912,0.9916512274096385,0.9680226027086801,19638,362,194,3126,"{""max_depth"": 20, ""max_features"": ""sqrt"", ""n_estimators"": 100}",seed 42,82.2,93280,23320,13280,3320,14.24,14.24
urlphish__smoteenn__svm__rnative__s42__full,urlphish,smoteenn,Hybrid,svm,,42,full,22,0.8277124183006536,0.9536144578313253,0.8862141357592722,0.8687765256311345,0.9603322289156626,0.9651372212692967,0.9895327108433735,0.9465702908328067,19341,659,154,3166,"{""C"": 10, ""gamma"": ""scale"", ""kernel"": ""rbf""}",seed 42,241.1,93280,23320,13280,3320,14.24,14.24
urlphish__smotetomek__decision_tree__rnative__s42__full,urlphish,smotetomek,Hybrid,decision_tree,,42,full,22,0.8851548801870252,0.9123493975903615,0.8985464253930584,0.8815451603596446,0.9463496987951807,0.9706689536878216,0.961393140060241,0.8794176610508917,19607,393,291,3029,"{""criterion"": ""entropy"", ""max_depth"": 20, ""min_samples_split"": 10}",seed 42,62.2,93280,23320,13280,3320,14.24,14.24
urlphish__smotetomek__random_forest__rnative__s42__full,urlphish,smotetomek,Hybrid,random_forest,,42,full,22,0.927136431784108,0.9313253012048193,0.9292261457550713,0.9174499690238825,0.9595876506024097,0.979802744425386,0.9934486972891566,0.9759946909206747,19757,243,228,3092,"{""max_depth"": 20, ""max_features"": ""sqrt"", ""n_estimators"": 300}",seed 42,74.3,93280,23320,13280,3320,14.24,14.24
urlphish__smotetomek__svm__rnative__s42__full,urlphish,smotetomek,Hybrid,svm,,42,full,22,0.8461123110151187,0.9439759036144578,0.892369020501139,0.8751656067230974,0.9577379518072289,0.9675814751286449,0.9899472138554217,0.9529308807249709,19430,570,186,3134,"{""C"": 10, ""gamma"": ""scale"", ""kernel"": ""rbf""}",seed 42,462.2,93280,23320,13280,3320,14.24,14.24
vrbancic__adasyn__decision_tree__rnative__s42__full,vrbancic,adasyn,Data-level (synthetic),decision_tree,,42,full,93,0.8749630505468519,0.965742251223491,0.9181141439205955,0.8741145706220129,0.9464056083703662,0.9404399323181049,0.9768581101985712,0.940690494451158,10754,846,210,5920,"{""criterion"": ""gini"", ""max_depth"": 10, ""min_samples_split"": 2}",seed 42,22.0,70917,17730,24517,6130,34.57,34.57
vrbancic__adasyn__random_forest__rnative__s42__full,vrbancic,adasyn,Data-level (synthetic),random_forest,,42,full,93,0.9381978298474603,0.9732463295269168,0.9554007526623428,0.931538476509367,0.9696835095910445,0.9685843203609701,0.9952641263992801,0.991308167238485,11207,393,164,5966,"{""max_depth"": null, ""max_features"": ""sqrt"", ""n_estimators"": 300}",seed 42,32.4,70917,17730,24517,6130,34.57,34.57
vrbancic__adasyn__svm__rnative__s42__full,vrbancic,adasyn,Data-level (synthetic),svm,,42,full,93,0.839535534415221,0.9789559543230016,0.9039011899382438,0.85330359812412,0.9400383219890871,0.9280315848843768,0.98515150194071,0.9685006772937487,10453,1147,129,6001,"{""C"": 10, ""gamma"": ""scale"", ""kernel"": ""rbf""}",seed 42,573.2,70917,17730,24517,6130,34.57,34.57
vrbancic__cost_sensitive__decision_tree__rnative__s42__full,vrbancic,cost_sensitive,Algorithm-level,decision_tree,,42,full,93,0.9036718389921647,0.9595432300163133,0.9307698393860274,0.8934509102128642,0.9527457529391912,0.9506486181613085,0.9818632010462958,0.9575670104110142,10973,627,248,5882,"{""criterion"": ""entropy"", ""max_depth"": 10, ""min_samples_split"": 2}",seed 42,13.2,70917,17730,24517,6130,34.57,34.57
vrbancic__cost_sensitive__random_forest__rnative__s42__full,vrbancic,cost_sensitive,Algorithm-level,random_forest,,42,full,93,0.9554181581516433,0.9579119086460033,0.9566634082763115,0.9337184632870718,0.9671456094954154,0.9699943598420756,0.9950643317207628,0.990686666696407,11326,274,258,5872,"{""max_depth"": null, ""max_features"": ""sqrt"", ""n_estimators"": 100}",seed 42,14.9,70917,17730,24517,6130,34.57,34.57
vrbancic__cost_sensitive__svm__rnative__s42__full,vrbancic,cost_sensitive,Algorithm-level,svm,,42,full,93,0.9109079640533003,0.9590538336052202,0.9343610934520026,0.8990062177943108,0.9547424340439894,0.9534122955442752,0.9877185478427181,0.9753628374237766,11025,575,251,5879,"{""C"": 10, ""gamma"": ""scale"", ""kernel"": ""rbf""}",seed 42,306.1,70917,17730,24517,6130,34.57,34.57
vrbancic__none__decision_tree__rnative__s42__full,vrbancic,none,Baseline,decision_tree,,42,full,93,0.9268136784915308,0.9461663947797716,0.9363900548918308,0.9023554816752772,0.953341818079541,0.9555555555555556,0.9812042245598246,0.9559167304705686,11142,458,330,5800,"{""criterion"": ""gini"", ""max_depth"": 10, ""min_samples_split"": 2}",seed 42,14.0,70917,17730,24517,6130,34.57,34.57
vrbancic__none__random_forest__rnative__s42__full,vrbancic,none,Baseline,random_forest,,42,full,93,0.9562956945572705,0.9601957585644372,0.9582417582417583,0.9361105141696807,0.9685030516960117,0.9710659898477157,0.9953591789953311,0.9915043711790253,11331,269,244,5886,"{""max_depth"": null, ""max_features"": ""sqrt"", ""n_estimators"": 300}",seed 42,24.9,70917,17730,24517,6130,34.57,34.57
vrbancic__none__svm__rnative__s42__full,vrbancic,none,Baseline,svm,,42,full,93,0.9411375661375662,0.9285481239804242,0.9348004598456232,0.9007465824864066,0.9489292344040052,0.9552171460800902,0.9854145384485571,0.9757729367419753,11244,356,438,5692,"{""C"": 10, ""gamma"": 0.01, ""kernel"": ""rbf""}",seed 42,169.7,70917,17730,24517,6130,34.57,34.57
vrbancic__random_oversampling__decision_tree__rnative__s42__full,vrbancic,random_oversampling,Data-level (resampling),decision_tree,,42,full,93,0.9103319888302823,0.9572593800978793,0.933206106870229,0.8972150176255351,0.9537158969454913,0.9526226734348562,0.978367820779659,0.9498529295790893,11022,578,262,5868,"{""criterion"": ""gini"", ""max_depth"": 10, ""min_samples_split"": 2}",seed 42,17.5,70917,17730,24517,6130,34.57,34.57
vrbancic__random_oversampling__random_forest__rnative__s42__full,vrbancic,random_oversampling,Data-level (resampling),random_forest,,42,full,93,0.9485164394546912,0.9647634584013051,0.9565709664375253,0.9334010878127065,0.9685455223041008,0.9697123519458545,0.9954057560330766,0.9917768045404507,11279,321,216,5914,"{""max_depth"": null, ""max_features"": ""sqrt"", ""n_estimators"": 300}",seed 42,26.6,70917,17730,24517,6130,34.57,34.57
vrbancic__random_oversampling__svm__rnative__s42__full,vrbancic,random_oversampling,Data-level (resampling),svm,,42,full,93,0.9111076636673906,0.9580750407830343,0.934001272264631,0.8984476762502204,0.9543392445294482,0.9531866892272983,0.9878992377791529,0.9755644806835313,11027,573,257,5873,"{""C"": 10, ""gamma"": 0.01, ""kernel"": ""rbf""}",seed 42,341.6,70917,17730,24517,6130,34.57,34.57
vrbancic__random_undersampling__decision_tree__rnative__s42__full,vrbancic,random_undersampling,Data-level (resampling),decision_tree,,42,full,93,0.9028694184440693,0.9598694942903752,0.9304973511504705,0.8930324381948818,0.9526502643865669,0.9504230118443316,0.9771606640603027,0.9367296235433901,10967,633,246,5884,"{""criterion"": ""gini"", ""max_depth"": 10, ""min_samples_split"": 2}",seed 42,15.7,70917,17730,24517,6130,34.57,34.57
vrbancic__random_undersampling__random_forest__rnative__s42__full,vrbancic,random_undersampling,Data-level (resampling),random_forest,,42,full,93,0.9270833333333334,0.9727569331158238,0.9493711192485274,0.9222595844143702,0.9661629493165326,0.9641285956006769,0.9948376624289813,0.9906224394819181,11131,469,167,5963,"{""max_depth"": null, ""max_features"": ""sqrt"", ""n_estimators"": 300}",seed 42,19.6,70917,17730,24517,6130,34.57,34.57
vrbancic__random_undersampling__svm__rnative__s42__full,vrbancic,random_undersampling,Data-level (resampling),svm,,42,full,93,0.8933555825242718,0.9606851549755302,0.9257978305297909,0.8857863039364687,0.9500408533498341,0.9467569091934575,0.9871899786240648,0.9745964567975598,10897,703,241,5889,"{""C"": 10, ""gamma"": 0.01, ""kernel"": ""rbf""}",seed 42,113.8,70917,17730,24517,6130,34.57,34.57
vrbancic__smote__decision_tree__rnative__s42__full,vrbancic,smote,Data-level (synthetic),decision_tree,,42,full,93,0.9130842582460529,0.9528548123980424,0.932545701285224,0.8962117057243547,0.9524618889576419,0.9523406655386351,0.9812429684423694,0.9540193234029711,11044,556,289,5841,"{""criterion"": ""gini"", ""max_depth"": 10, ""min_samples_split"": 10}",seed 42,24.1,70917,17730,24517,6130,34.57,34.57
vrbancic__smote__random_forest__rnative__s42__full,vrbancic,smote,Data-level (synthetic),random_forest,,42,full,93,0.9424391795197965,0.9668841761827079,0.9545051936548836,0.9301704223483938,0.9678386398154919,0.9681331077270163,0.9948524990155819,0.9907813324658079,11238,362,203,5927,"{""max_depth"": 20, ""max_features"": ""sqrt"", ""n_estimators"": 100}",seed 42,21.7,70917,17730,24517,6130,34.57,34.57
vrbancic__smote__svm__rnative__s42__full,vrbancic,smote,Data-level (synthetic),svm,,42,full,93,0.9129082426127527,0.9575856443719413,0.9347133757961783,0.899552234931692,0.9546548911514878,0.9537507050197406,0.9876934944028801,0.9753594139135314,11040,560,260,5870,"{""C"": 10, ""gamma"": 0.01, ""kernel"": ""rbf""}",seed 42,418.3,70917,17730,24517,6130,34.57,34.57
vrbancic__smoteenn__decision_tree__rnative__s42__full,vrbancic,smoteenn,Hybrid,decision_tree,,42,full,93,0.9119331372852499,0.9611745513866231,0.9359065999523469,0.9014050703957859,0.956061413624346,0.9544839255499153,0.9560614136243462,0.88995049998487,11031,569,238,5892,"{""criterion"": ""entropy"", ""max_depth"": null, ""min_samples_split"": 2}",seed 42,37.9,70917,17730,24517,6130,34.57,34.57
vrbancic__smoteenn__random_forest__rnative__s42__full,vrbancic,smoteenn,Hybrid,random_forest,,42,full,93,0.9189314391599753,0.9707993474714519,0.944153577661431,0.9142140476424204,0.9627703633908984,0.9602932882120699,0.9926326784609325,0.986691179137098,11075,525,179,5951,"{""max_depth"": 20, ""max_features"": ""sqrt"", ""n_estimators"": 300}",seed 42,52.1,70917,17730,24517,6130,34.57,34.57
vrbancic__smoteenn__svm__rnative__s42__full,vrbancic,smoteenn,Hybrid,svm,,42,full,93,0.8940196820590461,0.9632952691680261,0.9273655280722418,0.8882530876134491,0.9514752207909096,0.9478285391990976,0.9850369297406762,0.9689069784970339,10900,700,225,5905,"{""C"": 10, ""gamma"": ""scale"", ""kernel"": ""rbf""}",seed 42,208.2,70917,17730,24517,6130,34.57,34.57
vrbancic__smotetomek__decision_tree__rnative__s42__full,vrbancic,smotetomek,Hybrid,decision_tree,,42,full,93,0.9119114437168694,0.9541598694942903,0.9325573979591837,0.8962190761711372,0.9527264864712831,0.9522842639593908,0.9803888099791865,0.9489104534298506,11035,565,281,5849,"{""criterion"": ""gini"", ""max_depth"": 10, ""min_samples_split"": 2}",seed 42,36.0,70917,17730,24517,6130,34.57,34.57
vrbancic__smotetomek__random_forest__rnative__s42__full,vrbancic,smotetomek,Hybrid,random_forest,,42,full,93,0.9485494470267671,0.965415986949429,0.9569084000323389,0.9339140802163408,0.9688717865781628,0.9699379582628314,0.9953407914721268,0.9914488397466503,11279,321,212,5918,"{""max_depth"": null, ""max_features"": ""sqrt"", ""n_estimators"": 300}",seed 42,45.2,70917,17730,24517,6130,34.57,34.57
vrbancic__smotetomek__svm__rnative__s42__full,vrbancic,smotetomek,Hybrid,svm,,42,full,93,0.9126922479415877,0.9584013050570962,0.9349884618445135,0.8999777826127224,0.9549765145975135,0.9539199097574732,0.9876356949991563,0.975171810715507,11038,562,255,5875,"{""C"": 10, ""gamma"": 0.01, ""kernel"": ""rbf""}",seed 42,448.3,70917,17730,24517,6130,34.57,34.57
